year,ac_no,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,position
2021,31,ALI IMRAN RAMZ,MALE,42.0,GENERAL,AIFB,28521,183,28704,16.55,3
2021,31,GOUTAM PAUL,MALE,45.0,SC,BSP,2720,5,2725,1.57,4
2021,31,MAZHAR IMAM,MALE,44.0,GENERAL,IND,1046,0,1046,0.6,5
2021,31,KAMKSHYA SARKAR,MALE,44.0,GENERAL,JD(U),950,4,954,0.55,6
2021,32,GOUTAM PAUL,MALE,42.0,GENERAL,TMC,115956,638,116594,54.7,1
2021,32,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,MALE,64.0,SC,BJP,79417,551,79968,37.52,2
2021,32,MD. HAFIZUL IQBAL,MALE,60.0,GENERAL,AIFB,9077,69,9146,4.29,3
2021,32,BENOY KUMAR DAS,MALE,75.0,GENERAL,IND,1266,3,1269,0.6,4
2021,32,HARUN RASHID,MALE,54.0,GENERAL,BSP,1128,11,1139,0.53,5
2021,32,SUBHASH CHANDRA SINHA S/O: BUYASU LAL SINGHA,MALE,38.0,SC,IND,690,3,693,0.33,6
2021,32,ABDULLAH,MALE,33.0,GENERAL,IND,631,1,632,0.3,7
2021,32,DINESH CHANDRA SINGHA,MALE,56.0,SC,IND,536,1,537,0.25,8
2021,32,BISHWAJIT SINHA,MALE,40.0,SC,AMB,266,5,271,0.13,9
2021,32,SANTHAPAN HASDAK,MALE,45.0,ST,BMUP,229,2,231,0.11,10
2021,32,SHANTILAL SINGHA,MALE,48.0,SC,SUCI,201,6,207,0.1,11
2021,33,SATYAJIT BARMAN,MALE,40.0,SC,TMC,115346,1079,116425,52.14,1
2021,33,CHANDIMA ROY,FEMALE,62.0,SC,BJP,88481,729,89210,39.95,2
2021,33,BHUPEN BARMAN,MALE,69.0,SC,CPI(M),9297,156,9453,4.23,3
2021,33,MANINDRA BARMAN,MALE,53.0,SC,AMB,1580,1,1581,0.71,4
2021,33,JYOTIRMAY BARMAN,MALE,39.0,SC,SUCI,1510,8,1518,0.68,5
2021,33,BINAY KUMAR ROY,MALE,52.0,SC,BSP,1406,5,1411,0.63,6
2021,33,SANKAR BARMAN,MALE,32.0,SC,IND,840,2,842,0.38,7
2021,33,DIPU BARMAN,MALE,34.0,SC,IND,699,2,701,0.31,8
2021,34,SOUMEN ROY,MALE,45.0,SC,BJP,115577,1191,116768,48.71,1
2021,34,TAPAN DEB SINGHA,MALE,60.0,SC,TMC,93723,1225,94948,39.61,2
2021,34,PRAVASH SARKAR,MALE,46.0,SC,INC,16451,319,16770,7.0,3
2021,34,SUDHIR SARKAR,MALE,39.0,SC,IND,3978,26,4004,1.67,4
2021,34,GOPAL CHUNARY,MALE,34.0,SC,SUCI,1070,3,1073,0.45,5
2021,34,SURESH BARMAN,MALE,43.0,SC,IND,1025,3,1028,0.43,6
2021,34,SHYAMA SARKAR,MALE,34.0,SC,IND,776,5,781,0.33,7
2021,34,Dilip Chandra Ray,MALE,31.0,SC,IND,544,8,552,0.23,8
2021,34,ALEN SARKAR,MALE,35.0,SC,IND,407,1,408,0.17,9
2021,34,NAMALA KANTA SARKAR,MALE,48.0,SC,AMB,385,2,387,0.16,10
2021,35,KRISHNA KALYANI,MALE,42.0,GENERAL,BJP,78308,1467,79775,49.44,1
2021,35,AGARWAL KANAIA LAL,MALE,67.0,GENERAL,TMC,58007,1020,59027,36.58,2
2021,35,MOHIT SENGUPTA,MALE,70.0,GENERAL,INC,16524,674,17198,10.66,3
2021,35,RAJU PAUL,MALE,33.0,GENERAL,IND,1361,0,1361,0.84,4
2021,35,MINAKSHI ROY,FEMALE,43.0,SC,IND,462,3,465,0.29,5
2021,35,DIPENDU SARKAR,MALE,32.0,GENERAL,IND,208,3,211,0.13,6
2021,35,GOUTAM BISWAS,MALE,45.0,GENERAL,AMB,204,4,208,0.13,7
2021,35,MANJU DAS (MANDAL),FEMALE,37.0,GENERAL,IND,194,2,196,0.12,8
2021,35,BAHAMONI HANSDA,FEMALE,26.0,ST,BMUP,128,5,133,0.08,9
2021,35,SANATAN MAJUMDAR,MALE,38.0,GENERAL,SUCI,133,0,133,0.08,10
2021,35,JYOTI BARMAN,MALE,25.0,SC,IND,98,1,99,0.06,11
2021,35,BHABATOSH LAHIRI,MALE,41.0,GENERAL,JD(U),73,0,73,0.05,12
2021,36,MOSARAF HUSSEN,MALE,40.0,GENERAL,TMC,113867,778,114645,59.1,1
2021,36,AMIT KUMAR KUNDU,MALE,51.0,GENERAL,BJP,69949,721,70670,36.43,2
2021,36,SRIKUMAR MUKHERJEE,MALE,67.0,GENERAL,CPI,4801,107,4908,2.53,3
2021,36,MOJAMMEL HAQUE,MALE,51.0,GENERAL,IND,1024,0,1024,0.53,4
2021,36,MOFAKKERUL ISLAM,MALE,38.0,GENERAL,AIMIM,828,3,831,0.43,5
2021,36,FIROJ ALAM,MALE,34.0,GENERAL,IND,344,2,346,0.18,6
2021,36,TUFAN BARMAN,MALE,33.0,SC,IND,185,4,189,0.1,7
2021,36,DILIP KUMAR BARMAN,MALE,40.0,SC,IND,131,2,133,0.07,8
2021,37,REKHA ROY,FEMALE,34.0,SC,TMC,89185,783,89968,48.88,1
