ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
253,BARJORA,GEN,0,Barjora,BARJORA,Bankura,Jangalmahal
254,ONDA,GEN,0,Onda,ONDA,Bankura,Jangalmahal
255,BISHNUPUR,GEN,0,Bishnupur,BISHNUPUR,Bankura,Jangalmahal
256,KATULPUR,SC,1,Katulpur,KATULPUR (SC),Bankura,Jangalmahal
257,INDUS,SC,1,Indus,INDUS (SC),Bankura,Jangalmahal
258,SONAMUKHI,SC,1,Sonamukhi,SONAMUKHI (SC),Bankura,Jangalmahal
259,KHANDAGHOSH,SC,1,Khandaghosh,KHANDAGHOSH (SC),Purba Bardhaman,Rarh Bengal
260,BARDHAMAN DAKSHIN,GEN,0,Bardhaman Dakshin,BARDHAMAN DAKSHIN,Purba Bardhaman,Rarh Bengal
261,RAINA,SC,1,Raina,RAINA (SC),Purba Bardhaman,Rarh Bengal
262,JAMALPUR,SC,1,Jamalpur,JAMALPUR (SC),Purba Bardhaman,Rarh Bengal
263,MONTESWAR,GEN,0,Monteswar,MONTESWAR,Purba Bardhaman,Rarh Bengal
264,KALNA,SC,1,Kalna,KALNA (SC),Purba Bardhaman,Rarh Bengal
265,MEMARI,GEN,0,Memari,MEMARI,Purba Bardhaman,Rarh Bengal
266,BARDHAMAN UTTAR,SC,1,Bardhaman Uttar,BARDHAMAN UTTAR (SC),Purba Bardhaman,Rarh Bengal
267,BHATAR,GEN,0,Bhatar,BHATAR,Purba Bardhaman,Rarh Bengal
268,PURBASTHALI DAKSHIN,GEN,0,Purbasthali Dakshin,PURBASTHALI DAKSHIN,Purba Bardhaman,Rarh Bengal
269,PURBASTHALI UTTAR,GEN,0,Purbasthali Uttar,PURBASTHALI UTTAR,Purba Bardhaman,Rarh Bengal
270,KATWA,GEN,0,Katwa,KATWA,Purba Bardhaman,Rarh Bengal
271,KETUGRAM,GEN,0,Ketugram,KETUGRAM,Purba Bardhaman,Rarh Bengal
272,MANGALKOT,GEN,0,Mangalkot,MANGALKOT,Purba Bardhaman,Rarh Bengal
